data_dt,delta,cny_score,usd_score,jpy_score,eur_score
2012-06-01 00:00:00,15492,86,272,27,188
2012-06-02 00:00:00,15493,1,49,6,33
2012-06-04 00:00:00,15495,98,353,41,247
2012-06-05 00:00:00,15496,127,434,51,271
2012-06-06 00:00:00,15497,91,402,37,239
2012-06-07 00:00:00,15498,103,382,33,238
2012-06-08 00:00:00,15499,92,274,19,151
2012-06-09 00:00:00,15500,2,56,6,39
2012-06-10 00:00:00,15501,0,7,0,7
2012-07-01 00:00:00,15522,1,12,0,9
2012-07-02 00:00:00,15523,47,295,32,136
2012-07-03 00:00:00,15524,134,413,46,191
2012-07-04 00:00:00,15525,105,379,38,198
2012-07-05 00:00:00,15526,108,330,35,174
2012-07-06 00:00:00,15527,96,356,27,171
2012-07-07 00:00:00,15528,4,94,13,40
2012-07-08 00:00:00,15529,1,12,1,8
2012-07-09 00:00:00,15530,81,272,16,132
2012-07-12 00:00:00,15533,93,344,20,141
2012-07-13 00:00:00,15534,90,306,26,99
2012-07-14 00:00:00,15535,3,66,3,15
2012-07-15 00:00:00,15536,0,3,0,4
2012-07-16 00:00:00,15537,87,233,13,122
2012-07-17 00:00:00,15538,105,309,17,139
2012-07-18 00:00:00,15539,87,514,20,144
2012-07-19 00:00:00,15540,98,428,21,141
2012-07-20 00:00:00,15541,94,423,14,146
2012-07-21 00:00:00,15542,8,121,9,32
2012-07-22 00:00:00,15543,0,6,0,5
2012-07-23 00:00:00,15544,96,334,24,201
2012-07-24 00:00:00,15545,117,485,45,252
2012-07-25 00:00:00,15546,105,444,36,256
2012-07-26 00:00:00,15547,97,443,28,226
2012-07-27 00:00:00,15548,93,419,25,250
2012-07-28 00:00:00,15549,8,136,9,62
2012-07-29 00:00:00,15550,6,19,2,15
2012-07-30 00:00:00,15551,108,412,41,255
2012-07-31 00:00:00,15552,93,476,45,249
2012-08-01 00:00:00,15553,94,502,35,222
2012-08-02 00:00:00,15554,82,396,33,155
2012-08-03 00:00:00,15555,79,441,58,199
2012-08-04 00:00:00,15556,12,150,15,47
2012-08-05 00:00:00,15557,3,14,2,8
2012-08-06 00:00:00,15558,104,289,33,150
2012-08-07 00:00:00,15559,103,396,23,178
2012-08-09 00:00:00,15561,77,353,28,147
2012-08-10 00:00:00,15562,122,378,33,141
2012-08-11 00:00:00,15563,18,133,14,47
2012-08-12 00:00:00,15564,3,10,2,9
2012-08-13 00:00:00,15565,144,341,46,147
2012-08-14 00:00:00,15566,109,393,44,180
2012-08-15 00:00:00,15567,121,347,24,151
2012-08-16 00:00:00,15568,153,397,20,103
2012-08-17 00:00:00,15569,154,391,27,180
2012-08-18 00:00:00,15570,17,115,12,39
2012-08-19 00:00:00,15571,7,40,3,28
2012-08-20 00:00:00,15572,150,352,32,185
2012-08-22 00:00:00,15574,180,418,34,176
2012-08-23 00:00:00,15575,164,403,25,147
2012-08-24 00:00:00,15576,182,376,27,171
2012-08-25 00:00:00,15577,6,96,10,31
2012-08-26 00:00:00,15578,2,28,0,16
2012-08-27 00:00:00,15579,167,360,28,167
2012-08-28 00:00:00,15580,208,484,46,174
2012-08-29 00:00:00,15581,167,435,43,142
2012-08-30 00:00:00,15582,165,385,35,170
2012-08-31 00:00:00,15583,149,335,40,164
2012-09-01 00:00:00,15584,8,90,15,45
2012-09-02 00:00:00,15585,2,19,2,14
2012-09-03 00:00:00,15586,97,250,27,137
2012-09-04 00:00:00,15587,125,249,19,168
2012-09-05 00:00:00,15588,92,345,30,180
2012-09-06 00:00:00,15589,81,348,26,185
2012-09-07 00:00:00,15590,104,339,22,213
2012-09-09 00:00:00,15592,9,22,1,19
2012-09-10 00:00:00,15593,96,295,31,157
2012-09-11 00:00:00,15594,127,453,43,221
2012-09-12 00:00:00,15595,99,407,34,213
2012-09-13 00:00:00,15596,102,397,25,203
2012-09-14 00:00:00,15597,81,439,32,158
2012-09-15 00:00:00,15598,0,74,5,24
2012-09-17 00:00:00,15600,80,328,14,87
2012-09-18 00:00:00,15601,107,380,19,110
2012-09-19 00:00:00,15602,79,393,36,132
2012-09-20 00:00:00,15603,91,412,55,153
2012-09-21 00:00:00,15604,99,403,27,149
2012-09-22 00:00:00,15605,3,83,8,29
2012-09-23 00:00:00,15606,2,13,0,7
2012-09-24 00:00:00,15607,80,340,40,156
2012-09-25 00:00:00,15608,98,437,47,214
2012-09-26 00:00:00,15609,96,432,54,151
2012-09-27 00:00:00,15610,72,368,50,164
2012-09-28 00:00:00,15611,88,346,43,134
2012-09-29 00:00:00,15612,9,94,9,35
2012-09-30 00:00:00,15613,0,4,0,5
2012-10-01 00:00:00,15614,21,246,34,102
2012-10-02 00:00:00,15615,20,337,33,106
2012-10-03 00:00:00,15616,43,357,40,170
2012-10-04 00:00:00,15617,20,343,32,145
2012-10-05 00:00:00,15618,32,296,33,143
2012-10-06 00:00:00,15619,0,89,9,26
2012-10-07 00:00:00,15620,1,9,1,5
2012-10-08 00:00:00,15621,65,235,18,112
2012-10-09 00:00:00,15622,92,310,19,152
2012-10-10 00:00:00,15623,79,265,14,129
2012-10-11 00:00:00,15624,108,366,22,144
2012-10-12 00:00:00,15625,101,340,23,115
2012-10-13 00:00:00,15626,2,67,6,21
2012-10-14 00:00:00,15627,13,17,1,9
2012-10-15 00:00:00,15628,94,272,21,95
2012-10-16 00:00:00,15629,87,313,21,128
2012-10-17 00:00:00,15630,86,379,22,147
2012-10-18 00:00:00,15631,79,351,18,138
2012-10-19 00:00:00,15632,96,384,28,134
2012-10-20 00:00:00,15633,12,139,9,37
2012-10-21 00:00:00,15634,0,7,1,1
2012-10-22 00:00:00,15635,94,308,29,103
2012-10-23 00:00:00,15636,65,376,40,105
2012-10-24 00:00:00,15637,132,476,29,156
2012-10-25 00:00:00,15638,152,530,27,113
2012-10-26 00:00:00,15639,161,403,26,103
2012-10-27 00:00:00,15640,7,117,15,33
2012-10-28 00:00:00,15641,2,6,1,1
2012-10-29 00:00:00,15642,166,294,41,110
2012-10-30 00:00:00,15643,177,358,48,139
2012-11-01 00:00:00,15645,95,415,36,95
2012-11-02 00:00:00,15646,86,401,43,94
2012-11-03 00:00:00,15647,1,101,4,18
2012-11-04 00:00:00,15648,2,6,1,0
2012-11-05 00:00:00,15649,104,317,21,85
2012-11-06 00:00:00,15650,84,325,32,104
2012-11-07 00:00:00,15651,104,365,19,113
2012-11-08 00:00:00,15652,107,426,25,161
2012-11-09 00:00:00,15653,104,390,27,144
2012-11-10 00:00:00,15654,9,139,14,45
2012-11-11 00:00:00,15655,5,24,1,7
2012-11-12 00:00:00,15656,132,322,44,117
2012-11-13 00:00:00,15657,120,460,56,189
