Direct_Ind,Product,Keyword
1,信用卡,紅利
1,信用卡,點數
1,信用卡,聯名卡
1,信用卡,世界卡
1,信用卡,玉璽卡
1,信用卡,白金卡
1,信用卡,卡費
1,信用卡,卡友
1,信用卡,開卡
1,信用卡,辦卡
1,信用卡,回饋率
1,信用卡,刷卡
1,信用卡,滿額贈
1,信用卡,首刷
1,信用卡,發卡
1,信用卡,現金回饋
1,信用卡,首辦卡
1,信用卡,卡債
1,信用卡,卡奴
1,信用卡,卡利
1,信用卡,debit card
1,信用卡,預借現金
1,信用卡,JCB
1,信用卡,VISA
1,信用卡,信用卡
1,信用卡,Master Card
1,房貸,房屋貸款
1,房貸,次順位
1,房貸,擔保
1,房貸,房貸
1,信貸,信用貸款
1,信貸,學貸
1,信貸,信貸
1,外匯,優利
1,外匯,買匯
1,外匯,賣匯
1,外匯,升值
1,外匯,貶值
1,外匯,特匯日
1,外匯,匯差
1,外匯,換匯
1,外匯,FX
1,外匯,匯率
1,外匯,外匯
1,外匯,外幣
1,外匯,美金
1,外匯,人民幣
1,外匯,歐元
1,外匯,日幣
1,存匯,轉帳
1,存匯,儲蓄
1,存匯,存款
1,存匯,提款
1,存匯,存摺
1,存匯,活期存款
1,存匯,定期存款
1,存匯,活存
1,存匯,定存
1,存匯,ATM
1,存匯,匯款
1,存匯,黃金
1,數位服務,網銀
1,數位服務,網路銀行
1,數位服務,行動銀行
1,數位服務,行動支付
1,數位服務,線上辦卡
1,數位服務,線上申貸
1,數位服務,線上換匯
1,數位服務,WebATM
1,數位服務,e指
1,數位服務,第三方支付
1,理財,黃金存摺
1,理財,金價
1,理財,黃金價格
1,理財,信托
1,理財,理財專員
1,理財,理專
1,理財,基金
1,理財,ETF
1,理財,債券
1,保險,保單
1,保險,保費
1,保險,理賠
1,保險,團保
1,保險,給付
1,保險,保險
1,金融相關,放款
1,金融相關,分期
1,金融相關,升息
1,金融相關,降息
1,金融相關,對保
1,金融相關,受益人
1,金融相關,利息
1,金融相關,利差
1,金融相關,利率
1,金融相關,擔保人
1,金融相關,寬限期間
1,金融相關,額度
1,金融相關,撥款
1,金融相關,本金
1,金融相關,準備金
1,金融相關,靈活運用
1,金融相關,聯徵
1,金融相關,申辦手續
1,金融相關,核貸
1,金融相關,金管會
1,金融相關,金融
1,金融相關,銀行
1,金融相關,金控
1,金融相關,曾銘宗
1,金融相關,財產
1,金融相關,透支
1,金融相關,年費
0,信用卡,百貨
0,信用卡,周年慶
0,信用卡,停車
0,信用卡,哩程
0,信用卡,貴賓室
0,信用卡,機場接送
0,信用卡,刷爆
0,信用卡,扣繳
0,信用卡,核卡
0,信用卡,養卡
0,信用卡,調額
0,信用卡,小白
0,信用卡,旅平險
0,信用卡,旅遊平安險
0,信用卡,商品券
0,信用卡,美國通運
0,信用卡,American Express
0,信用卡,加油
0,信用卡,剪卡
0,信用卡,通信貸款
0,信用卡,mailloan
0,房貸,房
0,房貸,屋
0,房貸,結婚
0,房貸,奢侈稅
0,房貸,豪宅稅
0,房貸,凶宅
0,房貸,住展
0,房貸,大樓
0,房貸,公寓
0,房貸,商辦
0,房貸,都更
0,房貸,捷運共構
0,房貸,重劃
0,房貸,社會住宅
0,房貸,斡旋
0,房貸,招標
0,房貸,建案
0,房貸,建商
0,房貸,591
0,房貸,捷運住宅
0,房貸,實價登碌
0,房貸,工業宅
0,房貸,合宜住宅
0,信貸,車
0,信貸,大學
0,信貸,留學
0,信貸,創業
0,信貸,青創
0,信貸,缺錢
0,信貸,資金
0,信貸,出資人
0,信貸,事業
0,信貸,廠房
0,信貸,機器
0,信貸,設備
0,信貸,成數
0,信貸,難關
0,信貸,周轉
0,信貸,債務
0,信貸,負債
0,信貸,圓夢
0,信貸,轉貸
0,信貸,靈活運用
0,信貸,微型企業
0,信貸,小型企業
0,數位服務,Paypal
0,數位服務,支付
0,數位服務,電子錢包
0,數位服務,電子金融
0,數位服務,Pi行動錢包
0,數位服務,KoKo
0,數位服務,LinePay
0,數位服務,Google Pay
0,數位服務,Bank 3.0
0,數位服務,讀卡機
0,數位服務,互聯網金融
0,數位服務,數位金融
0,數位服務,行動金融
0,數位服務,行動銀行
0,數位服務,虛擬通路
0,數位服務,電商
0,數位服務,掌上銀行
0,數位服務,電子商務
0,數位服務,金融服務
0,外匯,財政
0,外匯,央行
0,外匯,熱錢
0,外匯,出口
0,外匯,進口
0,外匯,QE
0,外匯,葉倫
0,外匯,寬鬆
0,外匯,通貨
0,外匯,緊縮
0,外匯,人民銀行
0,外匯,出國
0,外匯,三支箭
0,外匯,三隻箭
0,外匯,FOMC
0,外匯,結算
0,外匯,CPI
0,外匯,GDP
0,外匯,遠期
0,外匯,M2
0,外匯,拋補
0,外匯,印鈔
0,外匯,Fed
0,外匯,聯準會
0,外匯,ECB
0,外匯,希臘
0,外匯,索羅斯
0,外匯,歐債
0,存匯,存摺
0,存匯,補摺
0,存匯,開戶
0,存匯,跨行
0,存匯,支票
0,存匯,三點半
0,存匯,跳票
0,存匯,退票
0,存匯,薪轉
0,存匯,票據
0,存匯,存簿
0,存匯,刷簿
0,存匯,金融卡
0,存匯,提款
0,保險,火災
0,保險,車禍
0,保險,出國
0,保險,旅遊
0,保險,意外
0,保險,工安
0,保險,手術
0,保險,食安
0,保險,健保
0,保險,勞保
0,保險,天災
0,保險,地震
0,保險,颱風
0,保險,平安
0,保險,醫療
0,保險,年金險
0,保險,人身
0,保險,死亡
0,保險,八仙
0,保險,不幸
0,保險,罹難
0,保險,遇難
0,保險,詐領
0,理財,投資
0,理財,小資
0,理財,高收益
0,理財,收益型
0,理財,KYC
0,理財,結構型商品
0,理財,原物料
0,理財,貴金屬
0,理財,能源
0,理財,石油
0,理財,新興國家
0,理財,天然氣
0,理財,農作物
0,理財,頁岩油
0,理財,成長型
